arm,source_code,target_code,eta,n,source_prob_delta_mean,source_prob_delta_p95_abs,target_prob_delta_mean,primitive_switch_rate,action_l1_shift_mean_proxy,action_l1_shift_p95_proxy,raw_action_l2_shift_mean_proxy,action_l1_shift_mean_exact,action_l1_shift_p95_exact,raw_action_l2_shift_mean_exact,logprob_delta_mean_exact,entropy_delta_mean_exact,cash_q_sum_deviation_p95_proxy,mahalanobis_p95_pct,knn_p95_pct,pca_recon_p95_pct,ae_recon_p95_pct,density_p95_pct,ood_max_p95_pct,directionality_gate,policy_output_gate_proxy,policy_output_gate_exact,portfolio_behavior_gate_proxy,ood_safety_gate,no_immediate_risk_blowup_gate_proxy,exact_policy_forward_available,eligible_stage55_proxy,eligible_stage55_exact,status,blocked_exact_reason,obs_ood_max_p95_pct,latent_ood_max_p95_pct
hidden_direction,0,,0.25,527,-0.00459486455959486,0.005344349173517171,,0.04364326375711575,0.0023706725894883937,0.002370672589488424,0.026066194448062956,0.002725617528894821,0.0030444409698247906,0.026080301925681348,0.007057479481995671,-0.0033765065375948766,1.1102230246251565e-16,0.9234099234099234,0.8997668997668997,0.9107559107559106,0.8791208791208791,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,,0.25,527,-0.004287182088469315,0.0050090495728609685,,0.03415559772296015,0.0029735094108078023,0.002973509410807894,0.03461240725681149,0.003394370584040032,0.0038604484871029845,0.03462683198093463,0.008473513927133984,-0.006147511317562559,1.1102230246251565e-16,0.9250749250749251,0.8997668997668997,0.9115551115551115,0.8847818847818848,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
input_level,0,,0.25,527,-0.0011912351290888812,0.0016202215033297718,,0.018975332068311195,0.0011982455517411006,0.001905718818306923,0.018187851060987706,0.0011982455517411006,0.001905718818306923,0.018187851060987706,-0.0031220365520672733,0.003988291326012512,,0.9250749250749251,0.8997668997668997,0.9092241092241091,0.8841158841158842,0.8638028638028638,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9533799533799534
hidden_direction,0,1,0.25,527,-0.0029253299203140654,0.004378229024143587,0.003620699686440021,0.07969639468690702,0.0027683840826131395,0.0027683840826131755,0.02906377229645649,0.0029215547176647005,0.003261506557464599,0.029085396140446248,0.00805527978422972,-0.004008646029448826,1.1102230246251565e-16,0.9217449217449217,0.9047619047619048,0.91025641025641,0.8791208791208791,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,1,0.25,527,-0.00226652377864074,0.0038641402564655314,0.0029650925540675105,0.08538899430740038,0.004018709548090646,0.004018709548090717,0.05014783827293984,0.004317586806795402,0.005020277015864849,0.05017178218663304,0.011978837072962375,-0.010898843435906368,1.1102230246251565e-16,0.9250749250749251,0.9047619047619048,0.9115551115551115,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,1,0.25,527,,,,,0.02149310494228002,0.037952369363348205,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,1,0.25,527,-0.0008568069969420814,0.0016548409748530662,0.0009412738574407784,0.024667931688804556,0.0012017448293133524,0.002123825810849666,0.015135480822602984,0.0012017448293133524,0.002123825810849666,0.015135480822602984,0.0031432743543013224,-0.0025999297227081355,,0.9267399267399268,0.8997668997668997,0.9092574092574092,0.8847818847818848,0.8671328671328671,0.9567099567099567,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9567099567099567
hidden_direction,0,7,0.25,527,-0.006587596943465747,0.007824910350470171,0.0006840331371582228,0.06261859582542695,0.004547032822470701,0.004547032822470751,0.06816215428354967,0.00565148806605891,0.006506196595728396,0.06819610884395451,0.014919925233670837,-0.01271779532676856,1.1102230246251565e-16,0.9234099234099234,0.903096903096903,0.9130869130869129,0.8791208791208791,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,7,0.25,527,-0.006689440415570089,0.007892936037598997,0.0007133589554473475,0.07210626185958255,0.0048148632106789005,0.0048148632106789525,0.07033654624905207,0.005920337435331697,0.006814893148839473,0.07036712480111638,0.01503194848771792,-0.013499178515439693,1.1102230246251565e-16,0.9250749250749251,0.903096903096903,0.9130869130869129,0.8791208791208791,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,7,0.25,527,,,,,0.050011571087995484,0.069530978309119,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
