adapter,source_code,length,window_type,split,n_windows,mean_bad_auc_reduction,median_bad_auc_reduction,mean_bad_dwell_reduction,safe_window_rate,mean_safe_suppression_score,p95_ood_max_pct,p95_action_l1_shift,mean_logprob_delta,mean_entropy_delta,mean_alpha,stage6_pass_gate,stage6_holdout_pass_gate
learned_context_adapter_hidden_direction,4,20,event,adapter_train,3,0.7262136845164151,0.7683287222300083,1.6666666666666667,1.0,0.6886978237642721,0.9497169497169498,0.009517578016966581,-0.03895988464355469,0.048162587483723956,0.7790635660290718,True,False
learned_context_adapter_hidden_subspace,4,20,event,adapter_train,3,0.7102034465499112,0.7497492772607951,1.6666666666666667,1.0,0.6737375613365547,0.9503163503163503,0.008699596421793103,-0.03572222391764323,0.044706471761067706,0.7765327448646229,True,False
manual_stage55_hawkes_hidden_direction,4,20,event,adapter_train,3,0.6514044912770547,0.6650124443451255,1.6666666666666667,1.0,0.6163841093946378,0.9497169497169498,0.011221175650134684,-0.03512242635091146,0.042552947998046875,0.7122876553485792,True,False
manual_stage55_hawkes_hidden_subspace,4,20,event,adapter_train,3,0.6386941058331789,0.6493520887121342,1.6666666666666667,1.0,0.6044907387090871,0.9503163503163503,0.010284005589783192,-0.03224296569824219,0.03949025472005208,0.7122876553485792,True,False
learned_context_adapter_hidden_direction,4,20,event,adapter_holdout,2,0.5912747527121849,0.5912747527121849,5.0,1.0,0.49604546003202055,0.9763403263403264,0.009614011151716114,-0.031174755096435545,0.03189048767089844,0.6978472224669531,True,True
learned_context_adapter_hidden_subspace,4,20,event,adapter_holdout,2,0.5804707309888599,0.5804707309888599,5.0,1.0,0.4872424787841385,0.9762570762570763,0.0087920181453228,-0.028363418579101563,0.029364585876464844,0.6951364641659893,True,True
manual_stage55_hawkes_hidden_direction,4,20,event,adapter_holdout,2,0.5395992556691982,0.5395992556691982,2.5,1.0,0.446884911778064,0.9765101565101566,0.017302985358983277,-0.02779808044433594,0.0285064697265625,0.6218148625921458,True,True
manual_stage55_hawkes_hidden_subspace,4,20,event,adapter_holdout,2,0.5313716995111452,0.5313716995111452,2.5,1.0,0.44036155905057417,0.9763486513486513,0.015857940814457832,-0.02537746429443359,0.026293373107910155,0.6218148625921458,True,True
oracle_schedule_adapter_hidden_direction,4,20,event,adapter_train,3,0.23339067821911505,0.26424824248808154,1.6666666666666667,1.0,0.21312339858415133,0.9503163503163503,0.004037137757986784,-0.012486521402994792,0.015969721476236976,0.2436440034148594,True,False
oracle_no_bad_penalty_hidden_direction,4,20,event,adapter_train,3,0.23142740224583894,0.2619958628853063,1.6666666666666667,1.0,0.21123088533828485,0.9503163503163503,0.004002532549202442,-0.01238276163736979,0.015835952758789063,0.24162602589931337,True,False
oracle_schedule_adapter_hidden_subspace,4,20,event,adapter_train,3,0.228515279114223,0.25788874509071624,1.6666666666666667,1.0,0.2061139839365841,0.9518148518148518,0.0037846197560429573,-0.01151440938313802,0.014920043945312501,0.24360281013262772,True,False
oracle_no_bad_penalty_hidden_subspace,4,20,event,adapter_train,3,0.226631962375499,0.25574210033467437,1.6666666666666667,1.0,0.20429428003768801,0.9518148518148518,0.0037530220951884985,-0.011421712239583333,0.014797846476236979,0.24162606141374762,True,False
oracle_schedule_adapter_hidden_direction,4,20,event,adapter_holdout,2,0.13830580247725222,0.13830580247725222,0.0,1.0,0.06079510767113317,0.9754079254079254,0.003675057967193425,-0.006908893585205078,0.007453536987304688,0.15022961171343924,True,True
oracle_no_bad_penalty_hidden_direction,4,20,event,adapter_holdout,2,0.13690050489488614,0.13690050489488614,0.0,1.0,0.05943928115230646,0.9754079254079254,0.0036378084728494286,-0.006839466094970703,0.0073795318603515625,0.14873974978982005,True,True
oracle_schedule_adapter_hidden_subspace,4,20,event,adapter_holdout,2,0.13596074761981566,0.13596074761981566,0.0,1.0,0.05885976620118592,0.9754104229104229,0.00342364848125726,-0.006324291229248047,0.0069179534912109375,0.1502042543666903,True,True
oracle_no_bad_penalty_hidden_subspace,4,20,event,adapter_holdout,2,0.1346022492562468,0.1346022492562468,0.0,1.0,0.05754569411303427,0.9754104229104229,0.003389538433402777,-0.00626220703125,0.006849479675292969,0.14873977926908993,True,True
learned_context_adapter_hidden_direction,4,20,shifted_control,adapter_train,4,0.18022935374253857,0.19894015238187182,1.25,1.0,0.1556939107248959,0.9588411588411588,0.009143118937499821,-0.011600112915039065,0.01302785873413086,0.24921401162282564,False,False
learned_context_adapter_hidden_subspace,4,20,shifted_control,adapter_train,4,0.17573915245367777,0.1940728707299731,1.25,1.0,0.1519594790790364,0.9588411588411588,0.008477294878102839,-0.01049494743347168,0.011890029907226563,0.24659679599571974,False,False
learned_context_adapter_hidden_direction,4,20,matched_nonbad_control,adapter_train,5,0.12504464863831236,0.0967476365624029,1.0,0.8,0.045768085581639265,0.9818181818181818,0.007573454435914754,-0.008641433715820313,0.009396896362304686,0.18870317605789752,False,False
learned_context_adapter_hidden_subspace,4,20,matched_nonbad_control,adapter_train,5,0.1219064410584296,0.09419192025106654,1.0,0.8,0.043218833918220886,0.9818181818181818,0.007107193563133478,-0.007787818908691406,0.008512039184570313,0.186609448865056,False,False
oracle_schedule_adapter_hidden_direction,4,20,shifted_control,adapter_train,4,0.018859661147793777,0.01379789686802639,1.25,1.0,-0.0023826701235142318,0.9616716616716616,0.0016603637393563986,-0.0011152267456054688,0.0013125419616699218,0.022952894171612573,False,False
oracle_no_bad_penalty_hidden_direction,4,20,shifted_control,adapter_train,4,0.018730949212840624,0.013713139147726143,1.25,1.0,-0.0025063721250925593,0.9616716616716616,0.0016458851750940084,-0.0011078834533691405,0.0013040542602539063,0.022812748915748672,False,False
oracle_schedule_adapter_hidden_subspace,4,20,shifted_control,adapter_train,4,0.01853039952738286,0.013544080847046731,1.25,1.0,-0.0026493260285683808,0.9616716616716616,0.0015608709678053855,-0.0010235309600830078,0.0012200355529785158,0.022950592166307616,False,False
oracle_no_bad_penalty_hidden_subspace,4,20,shifted_control,adapter_train,4,0.018406075024197003,0.013462356977355802,1.25,1.0,-0.002769074757680635,0.9616716616716616,0.0015475554950535298,-0.001016855239868164,0.0012117385864257812,0.02281275553905289,False,False
learned_context_random_labels_hidden_subspace,4,20,event,adapter_train,3,0.0021943735694526186,0.0021517309590065453,0.0,1.0,-0.01240056600887235,0.9518148518148518,4.00745589286089e-05,-0.00011660257975260417,0.00013847351074218752,0.0026012013646929213,False,False
learned_context_random_labels_hidden_direction,4,20,event,adapter_train,3,0.0013134477754540898,0.0014879228167598013,0.0,1.0,-0.013252504139383283,0.9518148518148518,3.674908541142941e-05,-7.540384928385418e-05,8.646647135416667e-05,0.0015412114832239847,False,False
learned_context_no_bad_penalty_hidden_direction,4,20,event,adapter_train,3,0.0006670971275787724,0.0006717825678150269,0.0,1.0,-0.013872272978333927,0.9518148518148518,8.299220353364944e-06,-3.7511189778645836e-05,4.61578369140625e-05,0.000763625391603758,False,False
learned_context_no_bad_penalty_hidden_subspace,4,20,event,adapter_train,3,0.0006539525295696791,0.0006565585009641328,0.0,1.0,-0.013884768910169801,0.9518148518148518,7.563009858131409e-06,-3.725687662760417e-05,4.247029622395833e-05,0.0007636253848128642,False,False
original_ppo_hidden_direction,4,20,event,adapter_train,3,0.0,0.0,0.0,0.0,-0.01728912637125429,0.9534798534798535,1.2293457984924316e-07,1.6530354817708334e-06,0.0,0.0,False,False
